State,Postcode,Individuals,MedianIncome,MeanIncome
NSW,2126,11804.00,46932.00,65741.00
NSW,2127,6933.00,52832.00,62532.00
NSW,2128,1060.00,41153.00,48802.00
NSW,2130,4513.00,51459.00,66285.00
NSW,2131,13646.00,41827.00,52020.00
NSW,2132,6080.00,44870.00,59022.00
NSW,2133,5972.00,43290.00,53614.00
NSW,2134,8858.00,33267.00,47303.00
NSW,2135,16002.00,39554.00,63608.00
NSW,2136,4393.00,43753.00,55809.00
NSW,2137,15888.00,49011.00,71292.00
NSW,2138,10493.00,45879.00,59109.00
NSW,2140,8201.00,40847.00,49193.00
NSW,2141,15000.00,35580.00,43289.00
NSW,2142,11345.00,37065.00,42610.00
NSW,2143,3998.00,38726.00,44663.00
NSW,2144,16284.00,30344.00,36273.00
NSW,2145,41470.00,44679.00,52067.00
NSW,2146,9355.00,44685.00,50721.00
NSW,2147,19243.00,44719.00,50839.00
NSW,2148,32103.00,42132.00,46436.00
NSW,2150,17114.00,41999.00,48453.00
NSW,2151,11530.00,44932.00,55757.00
NSW,2152,6243.00,46166.00,55637.00
NSW,2153,33711.00,47672.00,60484.00
NSW,2154,24222.00,47261.00,67126.00
NSW,2155,28466.00,52205.00,64324.00
NSW,2156,8585.00,45781.00,75471.00
NSW,2157,2282.00,39773.00,60541.00
NSW,2158,5490.00,44854.00,81737.00
NSW,2159,3268.00,42144.00,65346.00
NSW,2160,16354.00,38213.00,44607.00
NSW,2161,12619.00,36872.00,42226.00
NSW,2162,7878.00,37367.00,43682.00
NSW,2163,3331.00,35829.00,40881.00
NSW,2164,9385.00,40752.00,47432.00
NSW,2165,15784.00,37172.00,42421.00
NSW,2166,21672.00,35816.00,40570.00
NSW,2167,4774.00,44959.00,50178.00
NSW,2168,17826.00,40137.00,44782.00
NSW,2170,46735.00,42130.00,48658.00
NSW,2171,17796.00,46119.00,53214.00
NSW,2172,1311.00,55236.00,65592.00
NSW,2173,8165.00,51575.00,56843.00
NSW,2174,590.00,45736.00,55936.00
NSW,2175,1049.00,42413.00,56353.00
NSW,2176,23873.00,41421.00,48033.00
NSW,2177,7308.00,40365.00,45069.00
NSW,2178,1959.00,41512.00,55232.00
NSW,2179,2309.00,40059.00,50123.00
NSW,2190,10503.00,35374.00,43925.00
NSW,2191,3041.00,39962.00,49945.00
NSW,2192,6416.00,37517.00,43585.00
NSW,2193,8250.00,44059.00,55000.00
NSW,2194,11985.00,33638.00,39332.00
NSW,2195,11278.00,31840.00,37033.00
NSW,2196,14329.00,36219.00,42895.00
NSW,2197,3960.00,38355.00,45160.00
NSW,2198,4437.00,40523.00,50070.00
NSW,2199,7513.00,37638.00,44280.00
NSW,2200,18564.00,36676.00,43371.00
NSW,2203,8085.00,50960.00,61961.00
NSW,2204,14543.00,47155.00,58003.00
NSW,2205,8768.00,42992.00,51522.00
NSW,2206,10684.00,45005.00,59558.00
NSW,2207,14941.00,42744.00,52451.00
NSW,2208,6920.00,41104.00,52108.00
NSW,2209,8719.00,39299.00,48469.00
NSW,2210,15623.00,40933.00,53308.00
NSW,2211,9331.00,43938.00,51726.00
NSW,2212,8126.00,43706.00,51058.00
NSW,2213,11780.00,46220.00,56275.00
NSW,2214,2370.00,45385.00,53502.00
NSW,2216,16355.00,40639.00,48978.00
NSW,2217,15543.00,42595.00,52756.00
NSW,2218,9334.00,41032.00,48563.00
NSW,2219,7547.00,46521.00,62724.00
NSW,2220,17326.00,36241.00,45269.00
NSW,2221,9883.00,45024.00,68124.00
NSW,2222,7291.00,42111.00,52077.00
NSW,2223,12972.00,47120.00,64143.00
NSW,2224,8493.00,43623.00,63614.00
NSW,2225,3378.00,49881.00,72184.00
NSW,2226,7540.00,50048.00,64416.00
NSW,2227,8753.00,47505.00,63114.00
NSW,2228,10904.00,45548.00,60536.00
NSW,2229,17929.00,47310.00,72588.00
NSW,2230,19272.00,49777.00,81251.00
NSW,2231,1318.00,46642.00,60848.00
NSW,2232,19588.00,47739.00,58981.00
NSW,2233,17993.00,47437.00,56531.00
NSW,2234,20127.00,48311.00,62372.00
NSW,2250,37112.00,40826.00,50969.00
NSW,2251,18123.00,39918.00,51867.00
NSW,2256,7685.00,38326.00,48817.00
NSW,2257,14680.00,37008.00,48040.00
NSW,2258,3031.00,43423.00,55528.00
NSW,2259,28029.00,39886.00,48750.00
NSW,2260,14134.00,41866.00,58927.00
NSW,2261,28827.00,39425.00,46965.00
NSW,2262,9066.00,38910.00,44812.00
NSW,2263,10349.00,37351.00,44093.00
NSW,2264,6816.00,37478.00,47738.00
NSW,2265,2762.00,37918.00,48194.00
NSW,2267,1537.00,36792.00,52965.00
NSW,2278,1444.00,43034.00,50903.00
NSW,2280,14760.00,42265.00,57200.00
NSW,2281,7150.00,39555.00,51069.00
NSW,2282,8750.00,43893.00,58666.00
NSW,2283,12460.00,40032.00,55131.00
NSW,2284,5473.00,40422.00,50162.00
NSW,2285,15912.00,44091.00,51460.00
NSW,2286,1943.00,42279.00,48891.00
NSW,2287,18700.00,42949.00,51727.00
NSW,2289,11270.00,44641.00,55138.00
NSW,2290,18601.00,43066.00,54968.00
NSW,2291,8869.00,50337.00,75109.00
NSW,2292,1371.00,45452.00,53936.00
NSW,2293,1591.00,44111.00,55232.00
NSW,2294,1097.00,44589.00,51950.00
NSW,2295,2943.00,44366.00,55157.00
NSW,2296,1057.00,43473.00,51641.00
NSW,2297,831.00,42235.00,50397.00
NSW,2298,4551.00,41701.00,48694.00
NSW,2299,5530.00,41285.00,50742.00
NSW,2300,7108.00,49602.00,86482.00
NSW,2302,340.00,47124.00,55058.00
NSW,2303,5174.00,43792.00,61921.00
NSW,2304,7801.00,43129.00,48936.00
NSW,2305,7307.00,47278.00,62523.00
NSW,2306,900.00,34968.00,38275.00
NSW,2307,1735.00,38402.00,43588.00
NSW,2311,484.00,30826.00,39369.00
NSW,2312,708.00,29731.00,38891.00
NSW,2315,7846.00,35282.00,49124.00
